source_year,country_key,status,league_team_count,source_url,cache_path,detail
2014,belgium,CACHED,16,https://en.wikipedia.org/wiki/2013–14_Belgian_Pro_League,/Users/buycell/Desktop/Akil Oyunu Elo/data/backtest_stage_b_2018_2026/_source_cache/2014_belgium_a0861710.html,
2014,bosniaherzegovina,CACHED,16,https://en.wikipedia.org/wiki/2013–14_Premier_League_of_Bosnia_and_Herzegovina,/Users/buycell/Desktop/Akil Oyunu Elo/data/backtest_stage_b_2018_2026/_source_cache/2014_bosniaherzegovina_82a89219.html,
2014,bulgaria,CACHED,14,https://en.wikipedia.org/wiki/2013–14_A_PFG,/Users/buycell/Desktop/Akil Oyunu Elo/data/backtest_stage_b_2018_2026/_source_cache/2014_bulgaria_2f955791.html,
2014,croatia,CACHED,10,https://en.wikipedia.org/wiki/2013–14_Prva_HNL,/Users/buycell/Desktop/Akil Oyunu Elo/data/backtest_stage_b_2018_2026/_source_cache/2014_croatia_3323af2d.html,
2014,cyprus,CACHED,14,https://en.wikipedia.org/wiki/2013–14_Cypriot_First_Division,/Users/buycell/Desktop/Akil Oyunu Elo/data/backtest_stage_b_2018_2026/_source_cache/2014_cyprus_ab42c311.html,
2014,czechrepublic,CACHED,16,https://en.wikipedia.org/wiki/2013–14_Gambrinus_liga,/Users/buycell/Desktop/Akil Oyunu Elo/data/backtest_stage_b_2018_2026/_source_cache/2014_czechrepublic_0fe84f66.html,
2014,denmark,CACHED,12,https://en.wikipedia.org/wiki/2013–14_Danish_Superliga,/Users/buycell/Desktop/Akil Oyunu Elo/data/backtest_stage_b_2018_2026/_source_cache/2014_denmark_28d9d37a.html,
2014,england,CACHED,20,https://en.wikipedia.org/wiki/2013–14_Premier_League,/Users/buycell/Desktop/Akil Oyunu Elo/data/backtest_stage_b_2018_2026/_source_cache/2014_england_b666401c.html,
2014,estonia,CACHED,10,https://en.wikipedia.org/wiki/2013_Meistriliiga,/Users/buycell/Desktop/Akil Oyunu Elo/data/backtest_stage_b_2018_2026/_source_cache/2014_estonia_e4edf7c7.html,
2014,faroeislands,CACHED,10,https://en.wikipedia.org/wiki/2013_Faroe_Islands_Premier_League,/Users/buycell/Desktop/Akil Oyunu Elo/data/backtest_stage_b_2018_2026/_source_cache/2014_faroeislands_4f64b51a.html,
2014,finland,CACHED,16,https://en.wikipedia.org/wiki/2013_Veikkausliiga,/Users/buycell/Desktop/Akil Oyunu Elo/data/backtest_stage_b_2018_2026/_source_cache/2014_finland_b11b017c.html,
2014,france,CACHED,20,https://en.wikipedia.org/wiki/2013–14_Ligue_1,/Users/buycell/Desktop/Akil Oyunu Elo/data/backtest_stage_b_2018_2026/_source_cache/2014_france_292c4263.html,
2014,georgia,CACHED,12,https://en.wikipedia.org/wiki/2013–14_Umaglesi_Liga,/Users/buycell/Desktop/Akil Oyunu Elo/data/backtest_stage_b_2018_2026/_source_cache/2014_georgia_99426325.html,
2014,germany,CACHED,18,https://en.wikipedia.org/wiki/2013–14_Bundesliga,/Users/buycell/Desktop/Akil Oyunu Elo/data/backtest_stage_b_2018_2026/_source_cache/2014_germany_1e1473b7.html,
2014,gibraltar,CACHED,8,https://en.wikipedia.org/wiki/2013–14_Gibraltar_Premier_Division,/Users/buycell/Desktop/Akil Oyunu Elo/data/backtest_stage_b_2018_2026/_source_cache/2014_gibraltar_7915846e.html,
2014,greece,CACHED,18,https://en.wikipedia.org/wiki/2013–14_Superleague_Greece,/Users/buycell/Desktop/Akil Oyunu Elo/data/backtest_stage_b_2018_2026/_source_cache/2014_greece_d1ef86d6.html,
2014,hungary,CACHED,16,https://en.wikipedia.org/wiki/2013–14_Nemzeti_Bajnoks%C3%A1g_I,/Users/buycell/Desktop/Akil Oyunu Elo/data/backtest_stage_b_2018_2026/_source_cache/2014_hungary_d0d0db84.html,
