club_id,uefa_team_id,ao_team_name,country_code,opta_team_id,opta_team_name,opta_association,match_method,exact_candidate_count,identity_status
AO-UEFA-52343,52343,Hammarby IF,SWE,2nnlsjfbcea40t4jeclcbw9lk,Hammarby,Sweden,UEFA_NAME_COUNTRY_EXACT,1,VERIFIED
AO-UEFA-52359,52359,Hajduk Split,CRO,6ouaoxrghzeqpzqk02xn3t4r9,Hajduk Split,Croatia,UEFA_NAME_COUNTRY_EXACT,1,VERIFIED
AO-UEFA-52904,52904,Spartak Trnava,SVK,e2eyddqxo12gs0dhbsb7l5pua,Spartak Trnava,Slovakia,UEFA_NAME_COUNTRY_EXACT,1,VERIFIED
AO-UEFA-50021,50021,Brøndby IF,DEN,9qsmopgutr7ut5g6workk8w4i,Brøndby,Denmark,UEFA_NAME_COUNTRY_EXACT,1,VERIFIED
AO-UEFA-64207,64207,Go Ahead Eagles,NED,b79uipsy57y1jqpy07h4i5ovk,Go Ahead Eagles,Netherlands,UEFA_NAME_COUNTRY_EXACT,1,VERIFIED
AO-UEFA-52821,52821,Hibernian,SCO,c9ky1957qli8v2lylfga7io8b,Hibernian,Scotland,UEFA_NAME_COUNTRY_EXACT,1,VERIFIED
AO-UEFA-50110,50110,Austria Wien,AUT,84gk4ytf9vr8oml51cqyit78w,Austria Wien,Austria,UEFA_NAME_COUNTRY_EXACT,1,VERIFIED
AO-UEFA-52350,52350,KuPS Kuopio,FIN,1c7dv8ays675v9kp6a04sd8pq,KuPS,Finland,MANUAL_ALIAS_VERIFIED,1,VERIFIED
AO-UEFA-51886,51886,Baník Ostrava,CZE,dfvvrv84skv23rsn1k6kt4slc,Baník Ostrava,Czechia,UEFA_NAME_COUNTRY_EXACT,1,VERIFIED
AO-UEFA-53025,53025,Universitatea Cluj,ROM,1umdtlidvrcxd3umripq0f8tm,Universitatea Cluj,Romania,UEFA_NAME_COUNTRY_EXACT,1,VERIFIED
AO-UEFA-2600605,2600605,FK Astana,KAZ,8hluxv5afo5yejrtl36naq9uv,Astana,Kazakhstan,UEFA_NAME_COUNTRY_EXACT,1,VERIFIED
AO-UEFA-77928,77928,FC Oleksandriya,UKR,x5bf07g3gy7xj2zidytj28m3,Oleksandria,Ukraine,MANUAL_ALIAS_VERIFIED,1,VERIFIED
AO-UEFA-93452,93452,Paksi FC,HUN,e86hbyj6fwyumuwoiaglh33r5,Paks,Hungary,UEFA_NAME_COUNTRY_EXACT,1,VERIFIED
AO-UEFA-2602334,2602334,Zalgiris Vilnius,LIT,tqszs9t9rn0xzxxjuhr2ujob,Žalgiris,Lithuania,UEFA_NAME_COUNTRY_EXACT,1,VERIFIED
AO-UEFA-2610060,2610060,Arda Kardzhali,BUL,5y0ugwe1fh4wt4nsen0n47cxl,Arda Kardzhali,Bulgaria,UEFA_NAME_COUNTRY_EXACT,1,VERIFIED
AO-UEFA-2601090,2601090,Novi Pazar,SRB,ctuzznbzdmug74ywjlq53frtf,Novi Pazar,Serbia,UEFA_NAME_COUNTRY_EXACT,1,VERIFIED
AO-UEFA-71235,71235,Breidablik,ISL,c6hu27u143y4z4te8b4036bae,Breidablik,Iceland,UEFA_NAME_COUNTRY_EXACT,1,VERIFIED
AO-UEFA-2606484,2606484,Araz Nakhchivan,AZB,7a2tbo29mvdo54wusbqp6i0wg,Araz Naxçıvan,Azerbaijan,UEFA_NAME_COUNTRY_EXACT,1,VERIFIED
AO-UEFA-2602511,2602511,Ilves Tampere,FIN,2rdnn9p03qrmmv34tyx1nahpa,Ilves,Finland,UEFA_NAME_COUNTRY_EXACT,1,VERIFIED
AO-UEFA-2608290,2608290,FC Drita,KOS,41h9qlpbu053buypjhxtbuhxs,Drita,Kosovo,UEFA_NAME_COUNTRY_EXACT,1,VERIFIED
AO-UEFA-77431,77431,Pyunik Yerevan,ARM,6a568y7uc4jumukhqo96lb5du,Pyunik,Armenia,UEFA_NAME_COUNTRY_EXACT,1,VERIFIED
AO-UEFA-57490,57490,NK Maribor,SLO,4px9dur1rd4l660rv3ro7m6l6,Maribor,Slovenia,UEFA_NAME_COUNTRY_EXACT,1,VERIFIED
AO-UEFA-69621,69621,BK Häcken,SWE,9zqn9ugvg64it0lr5z8cq4g9v,Häcken,Sweden,UEFA_NAME_COUNTRY_EXACT,1,VERIFIED
AO-UEFA-75807,75807,Shkendija Tetovo,MAC,3wd9j6ytmipbqczenvqqmtikn,Shkendija,North Macedonia,UEFA_NAME_COUNTRY_EXACT,1,VERIFIED
AO-UEFA-50133,50133,St. Patrick's Athletic,IRL,1bb2bbjq1gdsq3qqlh3c6rxs7,St Patrick's Athletic,Republic of Ireland,UEFA_NAME_COUNTRY_EXACT,1,VERIFIED
AO-UEFA-2610304,2610304,Ararat-Armenia,ARM,e3c3aotjsfoewbuow17vqm0kq,Ararat-Armenia,Armenia,UEFA_NAME_COUNTRY_EXACT,2,VERIFIED
AO-UEFA-63401,63401,Inter Club d'Escaldes,AND,4gq0wigc3xedon7eosdhr01lw,Inter Club d'Escaldes,Andorra,UEFA_NAME_COUNTRY_EXACT,1,VERIFIED
AO-UEFA-52792,52792,Dinamo Tirana,ALB,80w98a04tq1cwg3ucxsrxb6sm,Dinamo City,Albania,UEFA_NAME_COUNTRY_EXACT,1,VERIFIED
AO-UEFA-88148,88148,Egnatia Rrogozhinë,ALB,che78z4iaseye3rm58s8rbhyx,Egnatia Rrogozhinë,Albania,UEFA_NAME_COUNTRY_EXACT,1,VERIFIED
AO-UEFA-52949,52949,Aris Thessaloniki,GRE,90z9l1k46z46ep9oupipgganh,Aris,Greece,UEFA_NAME_COUNTRY_EXACT,1,VERIFIED
AO-UEFA-2613172,2613172,Polissya Zhytomyr,UKR,6473hce9r52khyh9ptc6i385c,Polissya,Ukraine,UEFA_NAME_COUNTRY_EXACT,2,VERIFIED
AO-UEFA-2605572,2605572,Lincoln Red Imps,GIB,c6xkfm5pm0pd220olqc6x8hlj,Lincoln Red Imps,Gibraltar,UEFA_NAME_COUNTRY_EXACT,1,VERIFIED
AO-UEFA-50057,50057,Valur Reykjavik,ISL,khmdmbol7850k3i07yusgpn,Valur,Iceland,UEFA_NAME_COUNTRY_EXACT,1,VERIFIED
