season,country,check,status,detail
2024/25,Hungary,participant_position_coverage,PASS,all=4/4; required=3/3
2024/25,Iceland,league_team_count_plausible,PASS,12
2024/25,Iceland,participant_position_coverage,PASS,all=4/4; required=3/3
2024/25,Ireland,league_team_count_plausible,PASS,10
2024/25,Ireland,participant_position_coverage,PASS,all=4/4; required=3/3
2024/25,Israel,league_team_count_plausible,PASS,14
2024/25,Israel,participant_position_coverage,PASS,all=4/4; required=3/3
2024/25,Italy,league_team_count_plausible,PASS,20
2024/25,Italy,participant_position_coverage,PASS,all=8/8; required=7/7
2024/25,Kazakhstan,league_team_count_plausible,PASS,14
2024/25,Kazakhstan,participant_position_coverage,PASS,all=4/4; required=3/3
2024/25,Kosovo,league_team_count_plausible,PASS,10
2024/25,Kosovo,participant_position_coverage,PASS,all=4/4; required=3/3
2024/25,Latvia,league_team_count_plausible,PASS,10
2024/25,Latvia,participant_position_coverage,PASS,all=4/4; required=3/3
2024/25,Liechtenstein,league_table_read,PASS,ValueError; optional_cup_only=True
2024/25,Lithuania,league_team_count_plausible,PASS,10
2024/25,Lithuania,participant_position_coverage,PASS,all=3/4; required=3/3
2024/25,Luxembourg,league_team_count_plausible,PASS,16
2024/25,Luxembourg,participant_position_coverage,PASS,all=4/4; required=3/3
2024/25,Malta,league_team_count_plausible,PASS,14
2024/25,Malta,participant_position_coverage,PASS,all=4/4; required=3/3
2024/25,Moldova,league_team_count_plausible,PASS,8
2024/25,Moldova,participant_position_coverage,PASS,all=4/4; required=3/3
2024/25,Montenegro,league_team_count_plausible,PASS,10
2024/25,Montenegro,participant_position_coverage,PASS,all=3/3; required=2/2
2024/25,Netherlands,league_team_count_plausible,PASS,18
2024/25,Netherlands,participant_position_coverage,PASS,all=6/6; required=5/5
2024/25,North Macedonia,league_team_count_plausible,PASS,12
2024/25,North Macedonia,participant_position_coverage,PASS,all=2/3; required=2/2
2024/25,Northern Ireland,league_team_count_plausible,PASS,12
2024/25,Northern Ireland,participant_position_coverage,PASS,all=4/4; required=3/3
2024/25,Norway,league_team_count_plausible,PASS,16
2024/25,Norway,participant_position_coverage,PASS,all=4/4; required=3/3
2024/25,Poland,league_team_count_plausible,PASS,18
2024/25,Poland,participant_position_coverage,PASS,all=3/4; required=3/3
2024/25,Portugal,league_team_count_plausible,PASS,18
2024/25,Portugal,participant_position_coverage,PASS,all=5/5; required=4/4
2024/25,Romania,league_team_count_plausible,PASS,16
2024/25,Romania,participant_position_coverage,PASS,all=3/4; required=3/3
2024/25,San Marino,league_team_count_plausible,PASS,16
2024/25,San Marino,participant_position_coverage,PASS,all=3/3; required=2/2
2024/25,Scotland,league_team_count_plausible,PASS,12
2024/25,Scotland,participant_position_coverage,PASS,all=5/5; required=4/4
2024/25,Serbia,league_team_count_plausible,PASS,16
2024/25,Serbia,participant_position_coverage,PASS,all=5/5; required=4/4
2024/25,Slovakia,league_team_count_plausible,PASS,12
2024/25,Slovakia,participant_position_coverage,PASS,all=4/4; required=3/3
2024/25,Slovenia,league_team_count_plausible,PASS,10
2024/25,Slovenia,participant_position_coverage,PASS,all=4/4; required=4/4
2024/25,Spain,league_team_count_plausible,PASS,20
2024/25,Spain,participant_position_coverage,PASS,all=7/7; required=6/6
2024/25,Sweden,league_team_count_plausible,PASS,16
2024/25,Sweden,participant_position_coverage,PASS,all=4/4; required=3/3
2024/25,Switzerland,league_team_count_plausible,PASS,12
2024/25,Switzerland,participant_position_coverage,PASS,all=5/5; required=4/4
2024/25,Türkiye,league_team_count_plausible,PASS,20
2024/25,Türkiye,participant_position_coverage,PASS,all=5/5; required=4/4
2024/25,Ukraine,league_team_count_plausible,PASS,16
2024/25,Ukraine,participant_position_coverage,PASS,all=5/5; required=4/4
2024/25,Wales,league_team_count_plausible,PASS,12
2024/25,Wales,participant_position_coverage,PASS,all=4/4; required=3/3
2024/25,ALL,all_teams_enriched,PASS,236
2025/26,Albania,league_team_count_plausible,PASS,10
2025/26,Albania,participant_position_coverage,PASS,all=4/4; required=3/3
2025/26,Andorra,league_team_count_plausible,PASS,10
2025/26,Andorra,participant_position_coverage,PASS,all=3/3; required=2/2
2025/26,Armenia,league_team_count_plausible,PASS,11
2025/26,Armenia,participant_position_coverage,PASS,all=4/4; required=3/3
2025/26,Austria,league_team_count_plausible,PASS,12
2025/26,Austria,participant_position_coverage,PASS,all=5/5; required=4/4
2025/26,Azerbaijan,league_team_count_plausible,PASS,10
2025/26,Azerbaijan,participant_position_coverage,PASS,all=4/4; required=3/3
2025/26,Belarus,league_team_count_plausible,PASS,16
2025/26,Belarus,participant_position_coverage,PASS,all=4/4; required=3/3
2025/26,Belgium,league_team_count_plausible,PASS,16
2025/26,Belgium,participant_position_coverage,PASS,all=5/5; required=4/4
2025/26,Bosnia-Herzegovina,league_team_count_plausible,PASS,12
2025/26,Bosnia-Herzegovina,participant_position_coverage,PASS,all=4/4; required=3/3
2025/26,Bulgaria,league_team_count_plausible,PASS,16
