kulup,ulke,lig,lig_sirasi,sira,ao_first_max_g16,sira_uretim,ao_first_uretim,elo_farki,sira_farki,lig_gucu_L_yeni,lig_gucu_L_uretim,domestic_prior,domestic_prior_ayarli,european_prior,etkin_maruziyet,opta_sirasi
AA Gent,Belgium,Belgium top division,5.0,57,1493.9244,58,1529.6324,-35.708,1,0.7144,0.8481,1198.0468,1207.9326,1647.92,0.65,
Panathinaikos,Greece,Greece top division,4.0,58,1485.5248,60,1527.5123,-41.9875,2,0.6518,0.81,1162.4718,1153.0028,1664.5751,0.65,62.0
Red Star Belgrade,Serbia,Serbia top division,1.0,59,1481.9976,56,1558.888,-76.8904,-3,0.3552,0.598,1078.1289,1078.1289,1699.4653,0.65,52.0
Anderlecht,Belgium,Belgium top division,4.0,60,1467.4563,61,1503.7438,-36.2875,1,0.7144,0.8481,1221.0242,1225.0462,1597.9848,0.65,55.0
NK Celje,Slovenia,Slovenia top division,1.0,61,1457.3415,59,1527.528,-70.1866,-2,0.4262,0.655,1111.1951,1141.1951,1627.5742,0.65,72.0
Brighton & Hove Albion,England,England top division,8.0,62,1448.7864,64,1448.7864,0.0,2,1.0,1.0,1371.7203,1383.6154,1709.4701,0.2,
Crystal Palace,England,England top division,15.0,63,1443.6936,65,1443.6936,0.0,2,1.0,1.0,1218.4852,1188.4852,1961.8442,0.33,14.0
Stade Rennais,France,France top division,6.0,64,1442.8675,62,1483.1347,-40.2672,-2,0.8217,0.9095,1268.9892,1291.2369,1670.3134,0.4,
RC Lens,France,France top division,2.0,65,1417.2634,63,1461.4853,-44.2219,-2,0.8217,0.9095,1398.8339,1428.8339,1399.7624,0.398,
AFC Bournemouth,England,England top division,6.0,66,1415.5018,69,1415.5018,0.0,3,1.0,1.0,1415.5018,1415.5018,500.0,0.0,
Sunderland AFC,England,England top division,7.0,67,1393.611,74,1393.611,0.0,7,1.0,1.0,1393.611,1393.611,500.0,0.0,
FC Salzburg,Austria,Austria top division,3.0,68,1381.9609,66,1442.1076,-60.1467,-2,0.4498,0.6729,1021.5066,1013.3475,1580.445,0.65,64.0
