fold,test_season,model,candidate_key,alpha,tau,base_bonus,complexity,matches,brier_1x2,log_loss_1x2,accuracy_1x2,ranking_score,pairwise_accuracy,minimum_start_end_rank_correlation,maximum_abs_rating_change,maximum_abs_match_delta,maximum_total_elo_error
4,2023/24,GOAL_DIFFERENCE_ONLY,goal_difference_only_a0.025_t650_b0,0.025,650.0,0.0,1,806,0.5712690012882713,0.9635952227372847,0.543424317617866,0.32688428950117626,0.6162467066833458,0.9371053808456786,302.0799339122286,93.07211234955213,4.547473508864641e-13
5,2024/25,GOAL_DIFFERENCE_ONLY,goal_difference_only_a0.025_t650_b0,0.025,650.0,0.0,1,957,0.5762827977212898,0.9711856950967597,0.54858934169279,0.24657111316112645,0.5877284542986225,0.936183907206471,378.413577862882,91.04143653806203,1.1641532182693481e-10
6,2025/26,GOAL_DIFFERENCE_ONLY,goal_difference_only_a0.025_t650_b0,0.025,650.0,0.0,1,961,0.5903974455492254,0.9908356444312769,0.5286160249739854,,,0.9406126892685799,366.833668273262,91.23506833191026,5.820766091346741e-11
1,2020/21,GOAL_DIFFERENCE_ONLY,goal_difference_only_a0.025_t800_b0,0.025,800.0,0.0,1,540,0.5453357398962428,0.9291435556812238,0.5796296296296296,0.2901337423289404,0.5996881133381534,0.9685428344261969,455.2733672560371,90.65231245003923,9.094947017729282e-13
2,2021/22,GOAL_DIFFERENCE_ONLY,goal_difference_only_a0.025_t800_b0,0.025,800.0,0.0,1,816,0.5820037943448085,0.9792051186859726,0.5392156862745098,0.26315072112485427,0.5936656940383173,0.9409916723608559,426.7893979478554,92.12295392052523,4.547473508864641e-13
3,2022/23,GOAL_DIFFERENCE_ONLY,goal_difference_only_a0.025_t800_b0,0.025,800.0,0.0,1,804,0.5985149082404244,1.002612441055134,0.4975124378109453,0.3562890827027127,0.6115692848103882,0.9407850548149497,447.0677925914465,88.15116728803801,9.094947017729282e-13
4,2023/24,GOAL_DIFFERENCE_ONLY,goal_difference_only_a0.025_t800_b0,0.025,800.0,0.0,1,806,0.5712677321799937,0.9635932855051331,0.543424317617866,0.32709635681289856,0.6162997681319834,0.9371362877526701,302.1880517676932,93.19282718838006,4.547473508864641e-13
5,2024/25,GOAL_DIFFERENCE_ONLY,goal_difference_only_a0.025_t800_b0,0.025,800.0,0.0,1,957,0.5762817608771353,0.9711847732247093,0.54858934169279,0.24657111316112645,0.5877284542986225,0.936183907206471,378.35589445951973,91.04356529894329,1.1641532182693481e-10
6,2025/26,GOAL_DIFFERENCE_ONLY,goal_difference_only_a0.025_t800_b0,0.025,800.0,0.0,1,961,0.5903955321320778,0.9908325432819892,0.5286160249739854,,,0.9405241318865917,367.1028406245757,91.23537244422617,5.820766091346741e-11
1,2020/21,GOAL_DIFFERENCE_ONLY,goal_difference_only_a0.05_t100_b0,0.05,100.0,0.0,1,540,0.5454054609540894,0.9292405695712588,0.575925925925926,0.28961333346625134,0.599784863916816,0.9686113449885426,454.56663743631975,90.11653614782729,5.820766091346741e-11
