candidate_key,alpha,tau,matches,brier_1x2,log_loss_1x2,accuracy_1x2,ranking_score,pairwise_accuracy,maximum_abs_match_delta,maximum_abs_rating_change,maximum_total_elo_error,brier_delta_vs_base,log_loss_delta_vs_base,ranking_delta_vs_base,pairwise_delta_vs_base,ranking_evaluable_folds,ranking_no_regression_folds,ranking_practical_no_regression_folds,ranking_both_improved_folds,brier_win_folds,log_loss_win_folds
goal_difference_only_a0.2_t300_b0,0.2,300.0,4884,0.5791658830854499,0.9752901196831262,0.5378787878787878,0.29569801557404807,0.6014508708422496,93.39950627424126,468.9273462659985,5.820766091346741e-11,-0.00032431550211287075,-0.0004659146128769276,0.0008871867850767656,8.667111869509192e-05,5,2,5,2,5,5
goal_difference_only_a0.2_t400_b0,0.2,400.0,4884,0.579123965486856,0.9752291230122391,0.538083538083538,0.2960273398582185,0.6014417692828419,94.18233699876205,471.0017845443963,1.1641532182693481e-10,-0.00036623310070682535,-0.0005269112837640311,0.0012165110692471948,7.756955928739373e-05,5,2,5,2,5,6
goal_difference_only_a0.2_t500_b0,0.2,500.0,4884,0.5790952271301488,0.9751875011163715,0.5376740376740377,0.2958756261184763,0.6014598319385674,94.9974581520026,472.57234091984515,1.1641532182693481e-10,-0.0003949714574139618,-0.0005685331796315696,0.001064797329504985,9.563221501296404e-05,5,2,5,2,6,6
goal_difference_only_a0.2_t650_b0,0.2,650.0,4884,0.5790662445495971,0.9751457270841207,0.5382882882882883,0.2956055314750385,0.6013190177765909,96.12663630149599,474.31508715432983,1.1641532182693481e-10,-0.0004239540379656903,-0.0006103072118823771,0.0007947026860671835,-4.5181946963568365e-05,5,2,5,2,6,6
goal_difference_only_a0.2_t800_b0,0.2,800.0,4884,0.5790470348509031,0.9751181799588978,0.538083538083538,0.2959352477177792,0.6014149503430292,97.31110601852183,475.58208885530985,1.1641532182693481e-10,-0.00044316373665964637,-0.0006378543371052814,0.0011244189288078799,5.075061947468207e-05,5,2,5,2,6,6
goal_difference_only_a0.225_t100_b0,0.225,100.0,4884,0.5793167754833992,0.9755135123058231,0.538083538083538,0.29538045785548983,0.6014501539700479,92.63879088978697,462.9091595307657,5.820766091346741e-11,-0.00017342310416357254,-0.0002425219901800446,0.0005696290665185288,8.595424649338046e-05,5,2,5,2,4,4
goal_difference_only_a0.225_t150_b0,0.225,150.0,4884,0.5792526650279676,0.9754185813607872,0.538083538083538,0.2954896296086687,0.6014893572141045,92.68685238356251,465.72928583052294,1.1641532182693481e-10,-0.0002375335595952155,-0.00033745293521592057,0.0006788008196974005,0.00012515749054997638,5,2,5,2,4,4
goal_difference_only_a0.225_t200_b0,0.225,200.0,4884,0.579202496949317,0.9753447512429672,0.5374692874692875,0.2949625683224138,0.6012503874193762,92.84529140059816,467.865266175884,5.820766091346741e-11,-0.0002877016382457631,-0.00041128305303594903,0.00015173953344249647,-0.00011381230417828458,5,2,5,2,4,4
goal_difference_only_a0.225_t250_b0,0.225,250.0,4884,0.5791630683631553,0.9752869414722688,0.5378787878787878,0.29583175928572325,0.6013569720062276,93.12437065634856,469.6034091746667,1.1641532182693481e-10,-0.0003271302244074459,-0.0004690928237343073,0.0010209304967519484,-7.2277173268631145e-06,5,2,5,2,4,4
goal_difference_only_a0.225_t300_b0,0.225,300.0,4884,0.5791317219141806,0.9752411420127751,0.538083538083538,0.2960554462620177,0.6014284625695876,93.49497558539784,471.0614227836563,1.1641532182693481e-10,-0.0003584766733821798,-0.0005148922832279856,0.0012446174730463833,6.426284603311405e-05,5,2,5,2,5,5
goal_difference_only_a0.225_t400_b0,0.225,400.0,4884,0.5790859910686815,0.9751746065913944,0.5382882882882883,0.2958501011920706,0.6012914283071061,94.37566015048371,473.3769582965474,1.1641532182693481e-10,-0.00040420751888126105,-0.0005814277046086724,0.0010392724030993117,-7.277141644834728e-05,5,2,5,2,5,5
goal_difference_only_a0.225_t500_b0,0.225,500.0,4884,0.5790547621791537,0.9751293941273987,0.5384930384930385,0.2959339103023604,0.6014128534696176,95.29267144787934,475.1294552139825,5.820766091346741e-11,-0.0004354364084090401,-0.0006266401686043643,0.0011230815133890792,4.865374606310979e-05,5,2,5,2,6,6
goal_difference_only_a0.225_t650_b0,0.225,650.0,4884,0.5790234694878664,0.9750843321382865,0.538083538083538,0.2960824803026856,0.6014709402304741,96.82116285645029,477.07383543007427,1.1641532182693481e-10,-0.00046672909969636134,-0.0006717021577166138,0.001271651513714278,0.00010674050691961146,5,2,5,2,6,6
goal_difference_only_a0.225_t800_b0,0.225,800.0,4884,0.5790028496435657,0.975054806598478,0.538083538083538,0.2961317346661225,0.6015072790475926,98.81723537736809,478.48738121067936,1.1641532182693481e-10,-0.00048734894399704576,-0.0007012276975251197,0.0013209058771512239,0.00014307932403812007,5,2,5,2,6,6
