win_bonus_base,ucl_prestige,uel_prestige,uecl_prestige,distance_from_reference,matches,brier,log_loss,mean_rating_change,rating_change_std,max_abs_rating_change,max_abs_match_delta,max_abs_prestige_delta,start_end_rank_correlation
12.0,1.0,0.65,0.35,0.10000000000000003,6340,0.16417240623807483,0.6230764071714269,2.416635335436372e-16,34.64870857894105,149.07298389268715,35.04405367639038,10.513216102917113,0.9223674690755326
12.0,1.0,0.55,0.4,0.14999999999999997,6340,0.16417751378146409,0.6230759240787935,4.825253660285398e-16,34.431912242484955,146.11689906663105,35.04405367639038,10.513216102917113,0.921484280793933
12.0,1.0,0.7,0.35,0.14999999999999997,6340,0.1641836948837144,0.6231062034376718,2.7187203094434978e-16,34.8237541685201,150.5298279939716,35.04405367639038,10.513216102917113,0.9221595498830456
12.0,1.0,0.6,0.4,0.10000000000000003,6340,0.16418637671071268,0.6231001252253371,1.1438925590650307e-15,34.60626505864265,147.60210507148815,35.04405367639038,10.513216102917113,0.9213156976648897
12.0,1.0,0.75,0.35,0.2,6340,0.16419617548671878,0.6231387639546507,5.734902943152533e-16,34.9989096339755,151.97292525327396,35.04405367639038,10.513216102917113,0.9220939897773065
12.0,1.0,0.65,0.4,0.04999999999999999,6340,0.16419646303050445,0.623127155909687,3.0187244899239247e-16,34.780767510949715,149.07298389268715,35.04405367639038,10.513216102917113,0.9212651227261767
12.0,1.0,0.55,0.45,0.09999999999999998,6340,0.1642023241125684,0.6231284061628445,4.830401401432946e-16,34.56534594949432,146.11689906663105,35.04405367639038,10.513216102917113,0.9202910868694817
12.0,1.0,0.7,0.4,0.09999999999999992,6340,0.16420775654221142,0.6231569824437578,3.178539330663499e-17,34.95539937817094,150.5298279939716,35.04405367639038,10.513216102917113,0.9211386853793941
12.0,1.0,0.6,0.45,0.050000000000000044,6340,0.1642111931560425,0.6231526400344146,5.388840864892949e-16,34.739287467167216,147.60210507148815,35.04405367639038,10.513216102917113,0.920155283793308
12.0,1.0,0.75,0.4,0.14999999999999997,6340,0.16422024126910062,0.6231895717740098,3.954106886501043e-16,35.13014173081339,151.97292525327396,35.04405367639038,10.513216102917113,0.9209448147809942
12.0,1.0,0.65,0.45,0.0,6340,0.1642212848452621,0.6231797019866061,2.416438775660873e-16,34.9133790824332,149.07298389268715,35.04405367639038,10.513216102917113,0.9201506009286123
12.0,1.0,0.7,0.45,0.04999999999999993,6340,0.16423258298702095,0.6232095583424382,-3.0241294643480896e-17,35.08760063697751,150.5298279939716,35.04405367639038,10.513216102917113,0.9200466413323688
12.0,1.0,0.6,0.5,0.10000000000000003,6340,0.16423676487308383,0.6232069332711052,3.584916461058581e-16,34.87283285161155,147.60210507148815,35.04405367639038,10.513216102917113,0.9193133047210303
12.0,1.0,0.75,0.45,0.09999999999999998,6340,0.1642450716100004,0.6232421760593582,3.9592540684458157e-16,35.26193326036005,151.97292525327396,35.04405367639038,10.513216102917113,0.9199464280278818
12.0,1.0,0.65,0.5,0.04999999999999999,6340,0.164246861693744,0.6232340260386855,6.151859630852529e-17,35.0465170991743,149.07298389268715,35.04405367639038,10.513216102917113,0.9192720955117086
12.0,1.0,0.7,0.5,0.09999999999999992,6340,0.1642581642357786,0.6232639117831522,-2.124383662630599e-16,35.22033178519841,150.5298279939716,35.04405367639038,10.513216102917113,0.9190782249133086
12.0,1.0,0.75,0.5,0.14999999999999997,6340,0.1642706565332096,0.6232965574727677,9.253514171947154e-17,35.3942580977671,151.97292525327396,35.04405367639038,10.513216102917113,0.9187925701668741
12.0,1.0,0.65,0.55,0.10000000000000003,6340,0.16427318375290514,0.6232901091661776,1.2251601563051926e-16,35.18015652123745,149.07298389268715,35.04405367639038,10.513216102917113,0.9182062755069788
12.0,1.0,0.7,0.55,0.14999999999999997,6340,0.16428449047151253,0.623320023878634,3.930848804274307e-16,35.353567811190175,150.5298279939716,35.04405367639038,10.513216102917113,0.918106062202492
