season,team_id,club_id,uefa_team_id,team_name,uefa_team_name,country,country_code,identity_method,identity_source,identity_verified
2026/27,AO-UEFA-50164,AO-UEFA-50164,50164,Dinamo Zagreb,GNK Dinamo,Croatia,CRO,CURRENT_UEFA_FIXTURE_EXACT,UEFA_2026_27_MATCH_FEED,True
2026/27,AO-UEFA-52359,AO-UEFA-52359,52359,Hajduk Split,Hajduk Split,Croatia,CRO,CURRENT_UEFA_FIXTURE_EXACT,UEFA_2026_27_MATCH_FEED,True
2026/27,AO-UEFA-52356,AO-UEFA-52356,52356,NK Rijeka,Rijeka,Croatia,CRO,HISTORICAL_UEFA_REGISTRY_EXACT,/Users/buycell/Desktop/Akil Oyunu Elo/data/club_identity/club_registry.csv,True
2026/27,AO-UEFA-60514,AO-UEFA-60514,60514,NK Varazdin,Varaždin,Croatia,CRO,CURRENT_UEFA_FIXTURE_EXACT,UEFA_2026_27_MATCH_FEED,True
2026/27,AO-UEFA-54191,AO-UEFA-54191,54191,AEK Larnaca,AEK Larnaca,Cyprus,CYP,CURRENT_UEFA_FIXTURE_EXACT,UEFA_2026_27_MATCH_FEED,True
2026/27,AO-UEFA-52741,AO-UEFA-52741,52741,Apollon Limassol,Apollon,Cyprus,CYP,HISTORICAL_UEFA_REGISTRY_EXACT,/Users/buycell/Desktop/Akil Oyunu Elo/data/club_identity/club_registry.csv,True
2026/27,AO-UEFA-50077,AO-UEFA-50077,50077,Omonia Nicosia,Omonia,Cyprus,CYP,HISTORICAL_UEFA_REGISTRY_EXACT,/Users/buycell/Desktop/Akil Oyunu Elo/data/club_identity/club_registry.csv,True
2026/27,AO-UEFA-2609532,AO-UEFA-2609532,2609532,Pafos FC,Pafos,Cyprus,CYP,CURRENT_UEFA_FIXTURE_EXACT,UEFA_2026_27_MATCH_FEED,True
2026/27,AO-UEFA-62169,AO-UEFA-62169,62169,FK Jablonec,Jablonec,Czechia,CZE,CURRENT_UEFA_FIXTURE_EXACT,UEFA_2026_27_MATCH_FEED,True
2026/27,AO-UEFA-59878,AO-UEFA-59878,59878,Hradec Kralove,Hradec Králové,Czechia,CZE,CURRENT_UEFA_FIXTURE_EXACT,UEFA_2026_27_MATCH_FEED,True
2026/27,AO-UEFA-52498,AO-UEFA-52498,52498,Slavia Praha,Slavia Praha,Czechia,CZE,CURRENT_UEFA_FIXTURE_EXACT,UEFA_2026_27_MATCH_FEED,True
2026/27,AO-UEFA-50033,AO-UEFA-50033,50033,Sparta Praha,Sparta Praha,Czechia,CZE,CURRENT_UEFA_FIXTURE_EXACT,UEFA_2026_27_MATCH_FEED,True
2026/27,AO-UEFA-64388,AO-UEFA-64388,64388,Viktoria Plzen,Viktoria Plzeň,Czechia,CZE,CURRENT_UEFA_FIXTURE_EXACT,UEFA_2026_27_MATCH_FEED,True
2026/27,AO-UEFA-50019,AO-UEFA-50019,50019,AGF Aarhus,Aarhus,Denmark,DEN,CURRENT_UEFA_FIXTURE_EXACT,UEFA_2026_27_MATCH_FEED,True
2026/27,AO-UEFA-52709,AO-UEFA-52709,52709,FC København,Copenhagen,Denmark,DEN,HISTORICAL_UEFA_REGISTRY_EXACT,/Users/buycell/Desktop/Akil Oyunu Elo/data/club_identity/club_registry.csv,True
2026/27,AO-UEFA-75795,AO-UEFA-75795,75795,FC Midtjylland,Midtjylland,Denmark,DEN,CURRENT_UEFA_FIXTURE_EXACT,UEFA_2026_27_MATCH_FEED,True
2026/27,AO-UEFA-79940,AO-UEFA-79940,79940,FC Nordsjælland,Nordsjælland,Denmark,DEN,CURRENT_UEFA_FIXTURE_EXACT,UEFA_2026_27_MATCH_FEED,True
2026/27,AO-UEFA-2601124,AO-UEFA-2601124,2601124,AFC Bournemouth,Bournemouth,England,ENG,CURRENT_UEFA_FIXTURE_EXACT,UEFA_2026_27_MATCH_FEED,True
2026/27,AO-UEFA-52280,AO-UEFA-52280,52280,Arsenal,Arsenal,England,ENG,CURRENT_UEFA_FIXTURE_EXACT,UEFA_2026_27_MATCH_FEED,True
2026/27,AO-UEFA-52683,AO-UEFA-52683,52683,Aston Villa,Aston Villa,England,ENG,CURRENT_UEFA_FIXTURE_EXACT,UEFA_2026_27_MATCH_FEED,True
2026/27,AO-UEFA-2601105,AO-UEFA-2601105,2601105,Brighton & Hove Albion,Brighton,England,ENG,CURRENT_UEFA_FIXTURE_EXACT,UEFA_2026_27_MATCH_FEED,True
2026/27,AO-UEFA-52916,AO-UEFA-52916,52916,Crystal Palace,Crystal Palace,England,ENG,CURRENT_UEFA_FIXTURE_EXACT,UEFA_2026_27_MATCH_FEED,True
2026/27,AO-UEFA-7889,AO-UEFA-7889,7889,Liverpool,Liverpool,England,ENG,CURRENT_UEFA_FIXTURE_EXACT,UEFA_2026_27_MATCH_FEED,True
2026/27,AO-UEFA-52919,AO-UEFA-52919,52919,Manchester City,Man City,England,ENG,CURRENT_UEFA_FIXTURE_EXACT,UEFA_2026_27_MATCH_FEED,True
2026/27,AO-UEFA-52682,AO-UEFA-52682,52682,Manchester United,Man Utd,England,ENG,CURRENT_UEFA_FIXTURE_EXACT,UEFA_2026_27_MATCH_FEED,True
2026/27,AO-UEFA-53360,AO-UEFA-53360,53360,Sunderland AFC,Sunderland,England,ENG,CURRENT_UEFA_FIXTURE_EXACT,UEFA_2026_27_MATCH_FEED,True
2026/27,AO-UEFA-59341,AO-UEFA-59341,59341,Flora Tallinn,Flora Tallinn,Estonia,EST,CURRENT_UEFA_FIXTURE_EXACT,UEFA_2026_27_MATCH_FEED,True
2026/27,AO-UEFA-2600371,AO-UEFA-2600371,2600371,Kalju Nomme,Kalju,Estonia,EST,HISTORICAL_UEFA_REGISTRY_EXACT,/Users/buycell/Desktop/Akil Oyunu Elo/data/club_identity/club_registry.csv,True
2026/27,AO-UEFA-77482,AO-UEFA-77482,77482,Levadia Tallinn,Levadia Tallinn,Estonia,EST,CURRENT_UEFA_FIXTURE_EXACT,UEFA_2026_27_MATCH_FEED,True
2026/27,AO-UEFA-2600598,AO-UEFA-2600598,2600598,Paide Linnameeskond,Paide,Estonia,EST,CURRENT_UEFA_FIXTURE_EXACT,UEFA_2026_27_MATCH_FEED,True
2026/27,AO-UEFA-59025,AO-UEFA-59025,59025,HB Torshavn,H. Bóltfelag,Faroe Islands,FAR,HISTORICAL_UEFA_REGISTRY_EXACT,/Users/buycell/Desktop/Akil Oyunu Elo/data/club_identity/club_registry.csv,True
2026/27,AO-UEFA-57475,AO-UEFA-57475,57475,KI Klaksvik,Klaksvík,Faroe Islands,FAR,CURRENT_UEFA_FIXTURE_EXACT,UEFA_2026_27_MATCH_FEED,True
