baseline_model,candidate_model,scope,metric,method,matches,clusters,mean_difference,ci_95_lower,ci_95_upper,reliable_improvement,reliable_harm
CURRENT_AO,ML_POISSON_ENSEMBLE,coverage:BOTH,brier_1x2,calendar_month,1317,61,0.00020687422843376072,-0.003154999167840444,0.003397892793576134,False,False
CURRENT_AO,ML_POISSON_ENSEMBLE,coverage:BOTH,brier_1x2,conservative_envelope,1317,,0.00020687422843376072,-0.0039048009669877385,0.004215154144534828,False,False
CURRENT_AO,ML_POISSON_ENSEMBLE,coverage:BOTH,log_loss_1x2,tie_or_match,1317,1028,5.331189856616743e-05,-0.006343817223283132,0.006790900666716515,False,False
CURRENT_AO,ML_POISSON_ENSEMBLE,coverage:BOTH,log_loss_1x2,team_season,1317,441,5.331189856616743e-05,-0.004491105912126462,0.0047306726513098515,False,False
CURRENT_AO,ML_POISSON_ENSEMBLE,coverage:BOTH,log_loss_1x2,calendar_month,1317,61,5.331189856616743e-05,-0.00562167189248754,0.005251091893516607,False,False
CURRENT_AO,ML_POISSON_ENSEMBLE,coverage:BOTH,log_loss_1x2,conservative_envelope,1317,,5.331189856616743e-05,-0.006343817223283132,0.006790900666716515,False,False
CURRENT_AO,ML_POISSON_ENSEMBLE,coverage:NONE,brier_1x2,tie_or_match,1587,989,-0.0026360015542999183,-0.0044584723008593485,-0.0008718479551812305,True,False
CURRENT_AO,ML_POISSON_ENSEMBLE,coverage:NONE,brier_1x2,team_season,1587,880,-0.0026360015542999183,-0.003970611100133508,-0.0013267891425327194,True,False
CURRENT_AO,ML_POISSON_ENSEMBLE,coverage:NONE,brier_1x2,calendar_month,1587,58,-0.0026360015542999183,-0.004601458569677661,-0.0010053052720020994,True,False
CURRENT_AO,ML_POISSON_ENSEMBLE,coverage:NONE,brier_1x2,conservative_envelope,1587,,-0.0026360015542999183,-0.004601458569677661,-0.0008718479551812305,True,False
CURRENT_AO,ML_POISSON_ENSEMBLE,coverage:NONE,log_loss_1x2,tie_or_match,1587,989,-0.003908490258009189,-0.006833031285121814,-0.0011573129965756928,True,False
