country_code,source_team_id,source_club_key,source_team_name,ao_club_id,identity_method,identity_score,runner_up_score,identity_ambiguous
AZB,HF:1275,THESPORTSDB:HF:1275,Sabah FA,,NO_AO_COUNTERPART,0.7692307692307693,0.5714285714285714,False
AZB,HF:1276,THESPORTSDB:HF:1276,Keshla FC,,NO_AO_COUNTERPART,0.9090909090909091,0.36363636363636365,False
AZB,HF:1277,THESPORTSDB:HF:1277,Qabala,,NO_AO_COUNTERPART,0.8333333333333334,0.6666666666666666,False
AZB,HF:4650,THESPORTSDB:HF:4650,Bakı,,NO_AO_COUNTERPART,0.5,0.4444444444444444,False
AZB,HF:4651,THESPORTSDB:HF:4651,Simurq,,NO_AO_COUNTERPART,0.42857142857142855,0.4,False
AZB,HF:4652,THESPORTSDB:HF:4652,İnter Bakı,,NO_AO_COUNTERPART,0.47619047619047616,0.46153846153846156,False
AZB,HF:4653,THESPORTSDB:HF:4653,Rəvan,,NO_AO_COUNTERPART,0.5555555555555556,0.4444444444444444,False
AZB,HF:4654,THESPORTSDB:HF:4654,Khazar Lankaran,,NO_AO_COUNTERPART,0.38095238095238093,0.3157894736842105,False
AZB,HF:4655,THESPORTSDB:HF:4655,Şüvəlan,,NO_AO_COUNTERPART,0.5,0.4,False
BUL,133981,THESPORTSDB:133981,Ludogorets Razgrad,AO-UEFA-2603104,EXACT_NAME,1.0,1.0,False
BUL,134085,THESPORTSDB:134085,Levski Sofia,AO-UEFA-50044,EXACT_NAME,1.0,1.0,False
BUL,134088,THESPORTSDB:134088,CSKA Sofia,AO-UEFA-2608297,EXACT_NAME,1.0,1.0,False
BUL,134092,THESPORTSDB:134092,Lokomotiv Plovdiv,AO-UEFA-52369,EXACT_NAME,1.0,1.0,False
BUL,134343,THESPORTSDB:134343,Botev Plovdiv,AO-UEFA-57466,EXACT_NAME,1.0,1.0,False
BUL,134351,THESPORTSDB:134351,Beroe,,NO_AO_COUNTERPART,0.5,0.3333333333333333,False
BUL,137914,THESPORTSDB:137914,Slavia Sofia,AO-UEFA-50117,EXACT_NAME,1.0,1.0,False
BUL,137915,THESPORTSDB:137915,Cherno More,AO-UEFA-75787,EXACT_NAME,1.0,1.0,False
BUL,137916,THESPORTSDB:137916,Arda Kardzhali,AO-UEFA-2610060,EXACT_NAME,1.0,1.0,False
BUL,137917,THESPORTSDB:137917,Etar Veliko Tarnovo,,NO_AO_COUNTERPART,0.3888888888888889,0.3333333333333333,False
BUL,137919,THESPORTSDB:137919,Tsarsko Selo,,NO_AO_COUNTERPART,0.45454545454545453,0.4166666666666667,False
BUL,137920,THESPORTSDB:137920,Botev Vratsa,,NO_AO_COUNTERPART,0.56,0.41379310344827586,False
BUL,140035,THESPORTSDB:140035,Montana,,NO_AO_COUNTERPART,0.4166666666666667,0.36363636363636365,False
BUL,140036,THESPORTSDB:140036,Septemvri Sofia,,NO_AO_COUNTERPART,0.6666666666666666,0.5925925925925926,False
BUL,140107,THESPORTSDB:140107,CSKA 1948,AO-UEFA-2610262,EXACT_NAME,1.0,1.0,False
BUL,140765,THESPORTSDB:140765,Dobrudzha Dobrich,,NO_AO_COUNTERPART,0.45161290322580644,0.2962962962962963,False
