model,candidate_key,alpha,tau,base_bonus,complexity,matches,brier_1x2,log_loss_1x2,accuracy_1x2,multiclass_ece,ranking_score,pairwise_accuracy,minimum_start_end_rank_correlation,maximum_abs_rating_change,maximum_abs_match_delta,maximum_total_elo_error
FULL_MODEL,full_model_a0.05_t400_b0,0.05,400.0,0.0,1,4884,0.5793880046351595,0.975608836226631,0.5372645372645373,0.018147126795744054,0.29617198986799737,0.6016078670936202,0.935794072133183,456.9714894025251,93.02239808843206,1.1641532182693481e-10
FULL_MODEL,full_model_a0.05_t400_b2,0.05,400.0,2.0,2,4884,0.5793852364053084,0.9756054767154914,0.5372645372645373,0.017940027884620128,0.2964024122846452,0.6016572384055358,0.9358378943428265,463.6381560691914,93.02239808843206,1.1641532182693481e-10
FULL_MODEL,full_model_a0.05_t400_b4,0.05,400.0,4.0,2,4884,0.5793825674305657,0.9756022637600983,0.5372645372645373,0.017997985827859445,0.296432405031654,0.6016758589609826,0.9358890202540775,470.3048227358588,93.02239808843206,1.1641532182693481e-10
FULL_MODEL,full_model_a0.05_t400_b6,0.05,400.0,6.0,2,4884,0.5793799977695099,0.9755991973844879,0.5372645372645373,0.017997195754208557,0.2964496222320127,0.6016417088932333,0.9359191480232075,476.9714894025251,93.02239808843206,1.1641532182693481e-10
FULL_MODEL,full_model_a0.05_t400_b8,0.05,400.0,8.0,2,4884,0.5793775274791819,0.975596277612057,0.5372645372645373,0.018001881462758204,0.2964321977817532,0.6016418416475852,0.9357402073338295,483.6381560691916,93.02239808843206,5.820766091346741e-11
FULL_MODEL,full_model_a0.05_t400_b10,0.05,400.0,10.0,2,4884,0.5793751566150832,0.9755935044655628,0.5372645372645373,0.017979115043043243,0.2965698717643677,0.6016806488461451,0.9357402073338295,490.3048227358586,93.02239808843206,1.1641532182693481e-10
FULL_MODEL,full_model_a0.05_t400_b12,0.05,400.0,12.0,2,4884,0.5793728852311744,0.975590877967123,0.5372645372645373,0.018051970617916895,0.2966631762865124,0.6017089011108022,0.9355859166373758,496.9714894025251,93.02239808843206,1.1641532182693481e-10
FULL_MODEL,full_model_a0.05_t500_b0,0.05,500.0,0.0,1,4884,0.579379299142826,0.9755962061160943,0.5370597870597871,0.018072467363871716,0.2960716561418289,0.6015292484862189,0.935633390697823,457.3827679712542,93.22617837674218,1.1641532182693481e-10
FULL_MODEL,full_model_a0.05_t500_b2,0.05,500.0,2.0,2,4884,0.5793765336341292,0.9755928504492081,0.5370597870597871,0.017926842224782507,0.29625741273476297,0.6015775802690493,0.935653475877243,464.0494346379205,93.22617837674218,1.1641532182693481e-10
FULL_MODEL,full_model_a0.05_t500_b4,0.05,500.0,4.0,2,4884,0.5793738674223105,0.9755896413976056,0.5370597870597871,0.01789051059695133,0.2962800216012204,0.6015866009724398,0.9356653443923548,470.71610130458794,93.22617837674218,1.1641532182693481e-10
