match_id,fotmob_fetch_status,detail_identity_verified,detail_score_verified,detail_chronology_verified,xg_disposition
202021-0455,OK,True,True,True,ACCEPTED
202021-0432,OK,True,True,True,ACCEPTED
202021-0433,OK,True,True,True,ACCEPTED
202021-0434,OK,True,True,True,ACCEPTED
202021-0435,OK,True,True,True,ACCEPTED
202021-0436,OK,True,True,True,ACCEPTED
202021-0437,OK,True,True,True,ACCEPTED
202021-0438,OK,True,True,True,ACCEPTED
202021-0439,OK,True,True,True,ACCEPTED
202021-0440,OK,True,True,True,ACCEPTED
202021-0441,OK,True,True,True,ACCEPTED
202021-0442,OK,True,True,True,ACCEPTED
202021-0443,OK,True,True,True,ACCEPTED
202021-0144,OK,True,True,True,ACCEPTED
202021-0145,OK,True,True,True,ACCEPTED
202021-0142,OK,True,True,True,ACCEPTED
202021-0143,OK,True,True,True,ACCEPTED
202021-0146,OK,True,True,True,ACCEPTED
202021-0147,OK,True,True,True,ACCEPTED
202021-0148,OK,True,True,True,ACCEPTED
202021-0140,OK,True,True,True,ACCEPTED
202021-0141,OK,True,True,True,ACCEPTED
202021-0149,OK,True,True,True,ACCEPTED
202021-0134,OK,True,True,True,ACCEPTED
202021-0135,OK,True,True,True,ACCEPTED
202021-0136,OK,True,True,True,ACCEPTED
202021-0137,OK,True,True,True,ACCEPTED
202021-0138,OK,True,True,True,ACCEPTED
202021-0139,OK,True,True,True,ACCEPTED
202021-0456,OK,True,True,True,ACCEPTED
202021-0457,OK,True,True,True,ACCEPTED
202021-0458,OK,True,True,True,ACCEPTED
202021-0459,OK,True,True,True,ACCEPTED
202021-0460,OK,True,True,True,ACCEPTED
202021-0461,OK,True,True,True,ACCEPTED
202021-0462,OK,True,True,True,ACCEPTED
202021-0463,OK,True,True,True,ACCEPTED
202021-0464,OK,True,True,True,ACCEPTED
202021-0465,OK,True,True,True,ACCEPTED
202021-0466,OK,True,True,True,ACCEPTED
202021-0467,OK,True,True,True,ACCEPTED
202021-0468,OK,True,True,True,ACCEPTED
202021-0469,NOT_REQUESTED,False,False,False,IDENTITY_AMBIGUOUS
202021-0470,OK,True,True,True,ACCEPTED
202021-0471,OK,True,True,True,ACCEPTED
202021-0472,NOT_REQUESTED,False,False,False,IDENTITY_AMBIGUOUS
202021-0473,OK,True,True,True,ACCEPTED
202021-0474,OK,True,True,True,ACCEPTED
202021-0475,OK,True,True,True,ACCEPTED
202021-0476,OK,True,True,True,ACCEPTED
202021-0477,OK,True,True,True,ACCEPTED
202021-0478,OK,True,True,True,ACCEPTED
202021-0479,OK,True,True,True,ACCEPTED
202021-0156,OK,True,True,True,ACCEPTED
202021-0160,OK,True,True,True,ACCEPTED
202021-0158,OK,True,True,True,ACCEPTED
202021-0162,OK,True,True,True,ACCEPTED
202021-0482,OK,True,True,True,ACCEPTED
202021-0480,OK,True,True,True,ACCEPTED
202021-0484,OK,True,True,True,ACCEPTED
202021-0488,OK,True,True,True,ACCEPTED
202021-0492,OK,True,True,True,ACCEPTED
202021-0496,OK,True,True,True,ACCEPTED
202021-0498,OK,True,True,True,ACCEPTED
202021-0500,OK,True,True,True,ACCEPTED
202021-0510,OK,True,True,True,ACCEPTED
202021-0486,OK,True,True,True,ACCEPTED
202021-0490,OK,True,True,True,ACCEPTED
202021-0494,OK,True,True,True,ACCEPTED
202021-0502,OK,True,True,True,ACCEPTED
202021-0504,OK,True,True,True,ACCEPTED
202021-0506,OK,True,True,True,ACCEPTED
202021-0508,OK,True,True,True,ACCEPTED
