candidate,season,competition,matches,log_loss,brier,decisive_accuracy,mean_season_spearman
country_b12.5_g2.0_c320,2023/24,UCL,214,0.6291119834885264,0.16217416044632346,0.6848484848484848,0.3997427338566029
country_b12.5_g2.0_c320,2023/24,UEL,175,0.5768096944048693,0.14478113989368796,0.7571428571428571,0.6597385281857463
country_b12.5_g2.0_c320,2023/24,UECL,417,0.6198953338055708,0.16365772309712104,0.6727272727272727,0.3440971087540725
country_b12.5_g2.0_c320,2024/25,ALL,957,0.6259957945239895,0.17068237963615152,0.704516129032258,0.44400266190869664
country_b12.5_g2.0_c320,2024/25,UCL,279,0.6286638007800384,0.18011733105641206,0.7021276595744681,0.38732318819705464
country_b12.5_g2.0_c320,2024/25,UEL,269,0.62848406479855,0.167752165281205,0.719626168224299,0.4688669827031643
country_b12.5_g2.0_c320,2024/25,UECL,409,0.6225392701980863,0.1661735195266843,0.696319018404908,0.3763238256016092
country_b12.5_g2.0_c320,2025/26,ALL,961,0.6341405741393203,0.17290459462841282,0.6709844559585493,0.3888691618367768
country_b12.5_g2.0_c320,2025/26,UCL,281,0.6194975251804704,0.16810427969868513,0.6842105263157895,0.42731837966791686
country_b12.5_g2.0_c320,2025/26,UEL,271,0.6469212068761088,0.18038586806318854,0.634703196347032,0.3682992617088075
country_b12.5_g2.0_c320,2025/26,UECL,409,0.6357326164028095,0.17124558092286085,0.6861538461538461,0.3462144553211796
country_b12.5_g2.0_c340,2021/22,ALL,816,0.6193799036145583,0.1573804975432037,0.7022292993630573,0.4202211968242617
country_b12.5_g2.0_c340,2021/22,UCL,218,0.6087723008101705,0.16138897505551122,0.7215909090909091,0.4364647702815634
country_b12.5_g2.0_c340,2021/22,UEL,175,0.641364126196659,0.15562871984634574,0.626984126984127,0.4666598194558813
country_b12.5_g2.0_c340,2021/22,UECL,423,0.6157515784596858,0.15603939352255852,0.7208588957055214,0.3553610202010754
country_b12.5_g2.0_c340,2022/23,ALL,804,0.633716704624893,0.16478181837401173,0.6602254428341385,0.4024224813355234
country_b12.5_g2.0_c340,2022/23,UCL,214,0.6258198805674552,0.16107605099806938,0.6848484848484848,0.33782325445096417
country_b12.5_g2.0_c340,2022/23,UEL,175,0.6347069593082209,0.16271814789649877,0.6541353383458647,0.39040861671192256
country_b12.5_g2.0_c340,2022/23,UECL,415,0.6373712245735904,0.16756296669212353,0.6501547987616099,0.34793271130709646
