cap,arm,fold,test_season,seed_spearman,seed_pairwise_accuracy
0.725,PARTICIPATION_NORMALIZED,5,2024/25,0.5004096108781652,0.6748179545701553
0.725,PARTICIPATION_NORMALIZED,6,2025/26,0.4191701735514218,0.6449217618081715
0.75,BASELINE,1,2020/21,0.46480195470025315,0.6641287171383422
0.75,BASELINE,2,2021/22,0.47303986318009666,0.6629160974908332
0.75,BASELINE,3,2022/23,0.45667139221701775,0.6581501729331697
0.75,BASELINE,4,2023/24,0.4690145297233067,0.6619177677714623
0.75,BASELINE,5,2024/25,0.48424527585955984,0.6683331521936021
0.75,BASELINE,6,2025/26,0.41801063575718367,0.6449217618081715
0.75,PARTICIPATION_NORMALIZED,1,2020/21,0.4685635349786532,0.6654575492027007
0.75,PARTICIPATION_NORMALIZED,2,2021/22,0.47379804029343053,0.6633834208066719
0.75,PARTICIPATION_NORMALIZED,3,2022/23,0.4661310135740985,0.6622410651195656
0.75,PARTICIPATION_NORMALIZED,4,2023/24,0.4941283990714184,0.6707020004429025
0.75,PARTICIPATION_NORMALIZED,5,2024/25,0.5007369331840943,0.6749266384088686
0.75,PARTICIPATION_NORMALIZED,6,2025/26,0.4185420144943857,0.644378441031585
0.775,BASELINE,1,2020/21,0.4656692141916422,0.6645596896997558
0.775,BASELINE,2,2021/22,0.47415459088596756,0.6633115249119275
0.775,BASELINE,3,2022/23,0.45661588969965256,0.658187362862137
0.775,BASELINE,4,2023/24,0.46958542720830126,0.6619915848527349
0.775,BASELINE,5,2024/25,0.48387412797292056,0.6677535050537985
0.775,BASELINE,6,2025/26,0.4179759409255451,0.6450304259634888
0.775,PARTICIPATION_NORMALIZED,1,2020/21,0.46864782683150646,0.665421634822583
0.775,PARTICIPATION_NORMALIZED,2,2021/22,0.4755131793637253,0.6637788482277662
0.775,PARTICIPATION_NORMALIZED,3,2022/23,0.46616422020841947,0.6622038751905984
0.775,PARTICIPATION_NORMALIZED,4,2023/24,0.49470538488069926,0.6710341773086292
0.775,PARTICIPATION_NORMALIZED,5,2024/25,0.4998389652960013,0.6746368148389668
0.775,PARTICIPATION_NORMALIZED,6,2025/26,0.41993345984747144,0.6444508838017966
0.8,BASELINE,1,2020/21,0.46553894496450526,0.664703347220227
0.8,BASELINE,2,2021/22,0.4747572560468043,0.6634193687540442
0.8,BASELINE,3,2022/23,0.4559332561741103,0.6578898434303991
0.8,BASELINE,4,2023/24,0.46915643451243993,0.6617701336089171
0.8,BASELINE,5,2024/25,0.48423842811257395,0.6679708727312249
0.8,BASELINE,6,2025/26,0.41803346130431435,0.6449217618081715
0.8,PARTICIPATION_NORMALIZED,1,2020/21,0.4681857992958132,0.6653498060623474
0.8,PARTICIPATION_NORMALIZED,2,2021/22,0.47626459508782026,0.6641383277014883
0.8,PARTICIPATION_NORMALIZED,3,2022/23,0.46583642328962194,0.6617947859719588
0.8,PARTICIPATION_NORMALIZED,4,2023/24,0.49494001953203837,0.6711449029305381
0.8,PARTICIPATION_NORMALIZED,5,2024/25,0.4998147699233175,0.6745643589464914
0.8,PARTICIPATION_NORMALIZED,6,2025/26,0.41908937111457917,0.6444871051869023
0.825,BASELINE,1,2020/21,0.46569625970592676,0.6649547478810516
0.825,BASELINE,2,2021/22,0.4756132479244626,0.6637069523330218
0.825,BASELINE,3,2022/23,0.4568303096812684,0.6583733125069731
0.825,BASELINE,4,2023/24,0.4690534013322112,0.6621023104746439
0.825,BASELINE,5,2024/25,0.48402477840661173,0.6681520124624135
0.825,BASELINE,6,2025/26,0.4177677719357133,0.6447406548826428
0.825,PARTICIPATION_NORMALIZED,1,2020/21,0.4686257396615076,0.6655652923430542
0.825,PARTICIPATION_NORMALIZED,2,2021/22,0.47630922025679756,0.6641742756488604
0.825,PARTICIPATION_NORMALIZED,3,2022/23,0.46585777041168547,0.6622038751905984
0.825,PARTICIPATION_NORMALIZED,4,2023/24,0.4949957511158893,0.6714032627149924
0.825,PARTICIPATION_NORMALIZED,5,2024/25,0.49967644543420103,0.6745281310002536
0.825,PARTICIPATION_NORMALIZED,6,2025/26,0.4182005443093108,0.6439075630252101
0.85,BASELINE,1,2020/21,0.4662263517859025,0.6653138916822295
0.85,BASELINE,2,2021/22,0.4761320718587357,0.6639226400172551
0.85,BASELINE,3,2022/23,0.457113989214468,0.6584105024359403
0.85,BASELINE,4,2023/24,0.468567740387224,0.6619546763120986
0.85,BASELINE,5,2024/25,0.4838074765689239,0.6680433286237003
0.85,BASELINE,6,2025/26,0.4166196469150405,0.6440524485656332
0.85,PARTICIPATION_NORMALIZED,1,2020/21,0.4686370086257928,0.665421634822583
0.85,PARTICIPATION_NORMALIZED,2,2021/22,0.47673203246387685,0.6644259112804659
0.85,PARTICIPATION_NORMALIZED,3,2022/23,0.4671452390623608,0.6625013946223363
0.85,PARTICIPATION_NORMALIZED,4,2023/24,0.4949751444798435,0.6714032627149924
0.85,PARTICIPATION_NORMALIZED,5,2024/25,0.4978663576475773,0.673803572075499
0.85,PARTICIPATION_NORMALIZED,6,2025/26,0.41742584523969595,0.6435091277890467
