segment_type,segment_value,model,matches,brier_1x2,log_loss_1x2,accuracy_1x2,baseline_brier,baseline_log_loss,delta_brier_vs_ao,delta_log_loss_vs_ao
coverage,ONE,AO_ML_POISSON_BLEND,1378,0.5408447603275695,0.9197741362478328,0.5725689404934688,0.5463486601122143,0.9273528335433504,-0.005503899784644828,-0.0075786972955176335
coverage,ONE,AO_POISSON_BLEND,1378,0.5422919926128885,0.92249018795194,0.5725689404934688,0.5463486601122143,0.9273528335433504,-0.004056667499325761,-0.004862645591410364
coverage,ONE,CURRENT_AO,1378,0.5463486601122143,0.9273528335433504,0.5740203193033382,0.5463486601122143,0.9273528335433504,0.0,0.0
coverage,ONE,CURRENT_ML_BLEND,1378,0.5421108664569964,0.9210682974283624,0.5761973875181422,0.5463486601122143,0.9273528335433504,-0.004237793655217925,-0.006284536114988026
coverage,ONE,DOMESTIC_AD_RAW,1378,0.5408290573322587,0.9204317228763038,0.579100145137881,0.5463486601122143,0.9273528335433504,-0.005519602779955557,-0.006921110667046593
coverage,ONE,DOMESTIC_AD_RELIABLE,1378,0.5406709123569741,0.9203359639601731,0.5798258345428157,0.5463486601122143,0.9273528335433504,-0.0056777477552402145,-0.007016869583177265
coverage,ONE,DOMESTIC_ATTACK_DEFENCE_DIXON_COLES,1378,0.5404009283578215,0.9197406189020967,0.5798258345428157,0.5463486601122143,0.9273528335433504,-0.005947731754392782,-0.007612214641253723
coverage,ONE,DOMESTIC_ATTACK_DEFENCE_POISSON,1378,0.5406709123569741,0.9203359639601731,0.5798258345428157,0.5463486601122143,0.9273528335433504,-0.0056777477552402145,-0.007016869583177265
coverage,ONE,EXISTING_ELO_POISSON,1378,0.548352610640148,0.9311443260590638,0.5740203193033382,0.5463486601122143,0.9273528335433504,0.0020039505279336733,0.003791492515713424
coverage,ONE,POISSON_FEATURE_LOGISTIC,1378,0.5468601694653756,0.9279067840409957,0.5689404934687954,0.5463486601122143,0.9273528335433504,0.0005115093531613546,0.0005539504976452836
favorite_band,AWAY_FAVORITE,AO_ML_POISSON_BLEND,338,0.5456749547604625,0.9339444456877564,0.6035502958579881,0.5464203913878649,0.9328057567044888,-0.0007454366274024515,0.0011386889832675218
favorite_band,AWAY_FAVORITE,AO_POISSON_BLEND,338,0.5472910206569784,0.936045250723633,0.6094674556213018,0.5464203913878649,0.9328057567044888,0.0008706292691135209,0.00323949401914414
favorite_band,AWAY_FAVORITE,CURRENT_AO,338,0.5464203913878649,0.9328057567044888,0.6094674556213018,0.5464203913878649,0.9328057567044888,0.0,0.0
favorite_band,AWAY_FAVORITE,CURRENT_ML_BLEND,338,0.5437405317549249,0.9308437658926754,0.6094674556213018,0.5464203913878649,0.9328057567044888,-0.0026798596329400404,-0.0019619908118134743
favorite_band,AWAY_FAVORITE,DOMESTIC_AD_RAW,338,0.5498568702744142,0.9410535015429007,0.6094674556213018,0.5464203913878649,0.9328057567044888,0.003436478886549299,0.008247744838411841
favorite_band,AWAY_FAVORITE,DOMESTIC_AD_RELIABLE,338,0.5507620374645565,0.9427998398772731,0.6094674556213018,0.5464203913878649,0.9328057567044888,0.00434164607669163,0.009994083172784274
favorite_band,AWAY_FAVORITE,DOMESTIC_ATTACK_DEFENCE_DIXON_COLES,338,0.5517479434941535,0.9427825787145664,0.6094674556213018,0.5464203913878649,0.9328057567044888,0.005327552106288547,0.009976822010077546
favorite_band,AWAY_FAVORITE,DOMESTIC_ATTACK_DEFENCE_POISSON,338,0.5507620374645565,0.9427998398772731,0.6094674556213018,0.5464203913878649,0.9328057567044888,0.00434164607669163,0.009994083172784274
favorite_band,AWAY_FAVORITE,EXISTING_ELO_POISSON,338,0.5503325853694971,0.9433259852899188,0.6094674556213018,0.5464203913878649,0.9328057567044888,0.003912193981632228,0.010520228585430003
favorite_band,AWAY_FAVORITE,POISSON_FEATURE_LOGISTIC,338,0.5687565326142525,0.9651754035837251,0.5769230769230769,0.5464203913878649,0.9328057567044888,0.022336141226387607,0.03236964687923627
favorite_band,BALANCED,AO_ML_POISSON_BLEND,2721,0.6309573950283084,1.047263755258163,0.46380007350238883,0.6330623904075342,1.049443621956958,-0.002104995379225816,-0.0021798666987951076
favorite_band,BALANCED,AO_POISSON_BLEND,2721,0.6334995364511866,1.0502696834886314,0.4615950018375597,0.6330623904075342,1.049443621956958,0.0004371460436524144,0.0008260615316733055
favorite_band,BALANCED,CURRENT_AO,2721,0.6330623904075342,1.049443621956958,0.4671076809996325,0.6330623904075342,1.049443621956958,0.0,0.0
