candidate,season,competition,teams,ranking_score,pairwise_accuracy,top_quartile_precision,rank_percentile_mae,zero_exposure_teams,zero_exposure_rank_mae,zero_exposure_mean_overrank,zero_exposure_extreme_overrank_count,raw_score_spearman
c1_e0_x1,2019/20,UCL,79,0.45453604545106985,0.6611637790127493,0.5,0.24290979009774077,3,0.2679324894514768,0.02742616033755273,0,0.44084949824433406
c1_e0_x1,2019/20,UEL,213,0.4153952105221383,0.6404951291446956,0.42592592592592593,0.2535872512067711,25,0.25333333333333335,0.1894835680751174,6,0.3671569004394791
c1_e0_x1,2020/21,UCL,79,0.44578718802840156,0.6529814271749755,0.55,0.2385835603268707,1,0.07594936708860761,0.07594936708860761,0,0.46794863954500615
c1_e0_x1,2020/21,UEL,213,0.42665575848746423,0.6529674252565819,0.5740740740740741,0.2444179946659614,34,0.20947252140292738,0.13407898370615853,5,0.42390876021751
c1_e0_x1,2021/22,UCL,80,0.4633611866106352,0.657351540171483,0.5,0.24437499999999995,0,0.0,0.0,0,0.4523505946856909
c1_e0_x1,2021/22,UEL,58,0.4716450055009584,0.6618181818181819,0.4,0.23840665873959574,1,0.08620689655172412,0.0,0,0.39100800048457524
c1_e0_x1,2021/22,UECL,181,0.428968550498995,0.6511122157325712,0.5652173913043478,0.2484051158389548,31,0.24817323115309212,0.1653894136517555,4,0.35640661272351104
c1_e0_x1,2022/23,UCL,78,0.3676674587528833,0.6284757118927973,0.5,0.25098619329388555,2,0.05448717948717949,0.04487179487179488,0,0.3510345528667085
c1_e0_x1,2022/23,UEL,57,0.4239870375996116,0.6424090338770388,0.4,0.24222837796244995,5,0.2192982456140351,0.12105263157894737,0,0.3479821302409561
c1_e0_x1,2022/23,UECL,177,0.4444236634543695,0.6550894308943089,0.4666666666666667,0.24111845255194866,19,0.22494796312815935,0.14005352363960746,3,0.3441242622148525
c1_e0_x1,2023/24,UCL,78,0.43469077427491476,0.6564898231564898,0.5,0.2273175542406312,2,0.10897435897435898,0.10897435897435898,0,0.4220986178069333
c1_e0_x1,2023/24,UEL,57,0.7084352993033391,0.7532998114393463,0.4666666666666667,0.17051400430901817,3,0.2573099415204678,0.023391812865497075,0,0.6639389342723591
c1_e0_x1,2023/24,UECL,178,0.4429810569463514,0.6553320048852607,0.5777777777777777,0.24135210200732232,23,0.289447972642892,0.18197361993160718,4,0.3481998388009173
c1_e0_x1,2024/25,UCL,81,0.5390947120671444,0.6903285802851828,0.5238095238095238,0.21871665904587712,6,0.17695473251028804,0.0905349794238683,1,0.467322227228323
c1_e0_x1,2024/25,UEL,76,0.5236991714388419,0.684452296819788,0.631578947368421,0.2207409972299169,9,0.23391812865497075,0.14400584795321636,1,0.4368764711898185
c1_e0_x1,2024/25,UECL,164,0.4256087595197628,0.652177211348809,0.5121951219512195,0.23713563355145748,31,0.24645948072383952,0.19059795436664043,7,0.3632490075097539
c1_e0_x1,2025/26,UCL,82,0.4843949529408814,0.6743021844660194,0.42857142857142855,0.23512790005948841,1,0.03658536585365854,0.03658536585365854,0,0.4303619376462325
c1_e0_x1,2025/26,UEL,77,0.39328530919864424,0.6310380267214799,0.55,0.24928318434811947,6,0.19913419913419914,0.10173160173160174,1,0.422373070130529
