power_carry,competition,draw_at_even,draw_shape,matches,brier_1x2,log_loss_1x2,distance_from_reference
0.0,UECL,0.38,2.0,2073,0.595610881137549,1.0026304481853368,0.11999999999999998
0.0,UECL,0.36,1.25,2073,0.5954027684027571,1.003499756404749,0.08499999999999996
0.0,UECL,0.38,1.5,2073,0.5985584072159364,1.0079756102138353,0.10999999999999997
0.0,UECL,0.36,1.0,2073,0.5976185339264684,1.0084355368578166,0.07999999999999996
0.0,UECL,0.38,1.25,2073,0.6006793063801612,1.012341018850018,0.10499999999999998
0.0,UECL,0.38,1.0,2073,0.603417508991085,1.018390077292181,0.09999999999999998
0.0,UEL,0.24,1.0,2457,0.5808339695758373,0.9773813414932642,0.040000000000000036
0.0,UEL,0.26,1.0,2457,0.5808887497488799,0.9776345999531856,0.020000000000000018
0.0,UEL,0.26,1.25,2457,0.5813682437429458,0.9785066939981246,0.02500000000000002
0.0,UEL,0.22,1.0,2457,0.581662813074074,0.9790958659429503,0.060000000000000026
0.0,UEL,0.24,1.25,2457,0.5815662995807066,0.9791021203985308,0.04500000000000003
0.0,UEL,0.28,1.25,2457,0.5820055248824322,0.9796342877099378,0.005
0.0,UEL,0.28,1.0,2457,0.5818271535932019,0.9796708828421834,0.0
0.0,UEL,0.26,1.5,2457,0.5820493447848558,0.9803991217320738,0.03000000000000002
0.0,UEL,0.28,1.5,2457,0.5824483710838884,0.980771255339242,0.01
0.0,UEL,0.22,1.25,2457,0.5825996923957145,0.9816126098189332,0.06500000000000003
0.0,UEL,0.24,1.5,2457,0.5824441344304573,0.9817084597868501,0.05000000000000004
0.0,UEL,0.3,1.25,2457,0.5834781429991658,0.9823416024471173,0.024999999999999963
0.0,UEL,0.3,1.5,2457,0.5836412133275546,0.9826766975531079,0.029999999999999964
0.0,UEL,0.2,1.0,2457,0.58337528024359,0.9830299050352544,0.08000000000000002
0.0,UEL,0.3,1.0,2457,0.5836491811088034,0.9833557380508843,0.019999999999999962
0.0,UEL,0.22,1.5,2457,0.5836327400206925,0.9848954741962697,0.07000000000000002
0.0,UEL,0.28,2.0,2457,0.5837945702046227,0.9855740426477152,0.02
0.0,UEL,0.32,1.5,2457,0.5856278715158548,0.9860038895426884,0.04999999999999998
0.0,UEL,0.3,2.0,2457,0.5845733894715632,0.9861992827118231,0.039999999999999966
0.0,UEL,0.2,1.25,2457,0.5844684221879697,0.9862959562897301,0.08500000000000002
0.0,UEL,0.26,2.0,2457,0.5837415428747454,0.9864204324517685,0.04000000000000002
0.0,UEL,0.32,1.25,2457,0.5857860980931466,0.9865228054447569,0.04499999999999998
0.0,UEL,0.32,2.0,2457,0.5860780006755673,0.9881783748007993,0.059999999999999984
0.0,UEL,0.32,1.0,2457,0.5863548322956841,0.9885942073897792,0.03999999999999998
0.0,UEL,0.24,2.0,2457,0.5844143074819318,0.9888920404938835,0.06000000000000004
0.0,UEL,0.18,1.0,2457,0.5859713710843855,0.989528206701826,0.10000000000000003
0.0,UEL,0.2,1.5,2457,0.5856151615555617,0.9902215438306082,0.09000000000000001
0.0,UEL,0.34,1.5,2457,0.5884083456487891,0.9906700926899883,0.06999999999999999
0.0,UEL,0.34,2.0,2457,0.5883084038166346,0.9914214105972825,0.08
0.0,UEL,0.34,1.25,2457,0.5889293901643745,0.9921019527071936,0.065
0.0,UEL,0.22,2.0,2457,0.5858128640261815,0.9931898295230007,0.08000000000000003
0.0,UEL,0.18,1.25,2457,0.5871724889574719,0.9935020015246525,0.10500000000000004
0.0,UEL,0.34,1.0,2457,0.5899441071538442,0.9953238972167184,0.06
0.0,UEL,0.36,2.0,2457,0.5912645988947657,0.9958608110868677,0.09999999999999996
0.0,UEL,0.36,1.5,2457,0.5919826357263569,0.9966160450068295,0.08999999999999996
0.0,UEL,0.18,1.5,2457,0.5883913990350648,0.9980396173782099,0.11000000000000003
0.0,UEL,0.36,1.25,2457,0.5929080192128497,0.9990279152199728,0.08499999999999996
0.0,UEL,0.2,2.0,2457,0.5879372125074948,0.9995793718719959,0.10000000000000002
0.0,UEL,0.38,2.0,2457,0.5949465859099601,1.0014474344631528,0.11999999999999998
0.0,UEL,0.36,1.0,2457,0.5944170056832838,1.0035108292566648,0.07999999999999996
0.0,UEL,0.38,1.5,2457,0.5963507417485587,1.0038023177003814,0.10999999999999997
0.0,UEL,0.38,1.25,2457,0.5977219852385721,1.0072710928060071,0.10499999999999998
0.0,UEL,0.18,2.0,2457,0.5907873529258715,1.0084173290897358,0.12000000000000004
0.0,UEL,0.38,1.0,2457,0.5997735278840027,1.0131475096732452,0.09999999999999998
0.25,ALL,0.24,1.0,6340,0.5735607214079247,0.9668649747926465,0.040000000000000036
0.25,ALL,0.26,1.0,6340,0.5736684458987706,0.9671840634685978,0.020000000000000018
0.25,ALL,0.26,1.25,6340,0.5737889457231641,0.9675280601210912,0.02500000000000002
0.25,ALL,0.24,1.25,6340,0.5739525384021207,0.967989128375106,0.04500000000000003
0.25,ALL,0.22,1.0,6340,0.5743492259462044,0.9684922650579135,0.060000000000000026
0.25,ALL,0.26,1.5,6340,0.5741379693557107,0.9687517392038949,0.03000000000000002
0.25,ALL,0.28,1.25,6340,0.5744748176754892,0.9687762167001307,0.005
0.25,ALL,0.28,1.0,6340,0.5746723994187422,0.9692648620527403,0.0
0.25,ALL,0.28,1.5,6340,0.5745687324601517,0.9692950002798074,0.01
0.25,ALL,0.24,1.5,6340,0.5745163913368916,0.9698799194192957,0.05000000000000004
0.25,ALL,0.22,1.25,6340,0.5749655957123591,0.9703502847262826,0.06500000000000003
0.25,ALL,0.3,1.5,6340,0.5758086806502146,0.9713627505542086,0.029999999999999964
0.25,ALL,0.3,1.25,6340,0.5760101542590962,0.9715910234326918,0.024999999999999963
0.25,ALL,0.2,1.0,6340,0.5760339595136098,0.9723167993048385,0.08000000000000002
0.25,ALL,0.28,2.0,6340,0.5752950297697215,0.972575243440155,0.02
0.25,ALL,0.22,1.5,6340,0.5757039984036945,0.9728741516683883,0.07000000000000002
