fold,test_season,power_carry,competition,draw_at_even,draw_shape,matches,brier_1x2,log_loss_1x2,distance_from_reference
5,2024/25,0.75,ALL,0.26,1.0,4422,0.5693255359856964,0.9602470001069698,0.020000000000000018
5,2024/25,0.75,UCL,0.26,1.0,1250,0.5573123412250799,0.9419238062322538,0.020000000000000018
5,2024/25,0.75,UECL,0.26,1.25,1255,0.5720463695498672,0.9651859735381745,0.02500000000000002
5,2024/25,0.75,UEL,0.26,1.0,1917,0.5752820557114935,0.9688656832957564,0.020000000000000018
5,2024/25,0.85,ALL,0.26,1.0,4422,0.5690990762095138,0.9598392372237496,0.020000000000000018
5,2024/25,0.85,UCL,0.26,1.0,1250,0.5569664114682269,0.9412825434408173,0.020000000000000018
5,2024/25,0.85,UECL,0.26,1.25,1255,0.5721289036945617,0.9651905304779527,0.02500000000000002
5,2024/25,0.85,UEL,0.26,1.0,1917,0.5749621377434393,0.9683814137736875,0.020000000000000018
5,2024/25,0.9,ALL,0.26,1.0,4422,0.5690724787225816,0.9597613444384221,0.020000000000000018
5,2024/25,0.9,UCL,0.28,1.0,1250,0.5567146246219578,0.9411316425806537,0.0
5,2024/25,0.9,UECL,0.26,1.25,1255,0.5723021511543456,0.9653699322400018,0.02500000000000002
5,2024/25,0.9,UEL,0.26,1.0,1917,0.5748429363150792,0.9682017442685681,0.020000000000000018
5,2024/25,1.0,ALL,0.26,1.0,4422,0.5692606083116102,0.9599637604181392,0.020000000000000018
5,2024/25,1.0,UCL,0.28,1.0,1250,0.5568683083840666,0.9413318988550331,0.0
5,2024/25,1.0,UECL,0.26,1.0,1255,0.5730266744716713,0.9661995395617321,0.020000000000000018
5,2024/25,1.0,UEL,0.26,1.0,1917,0.5747066258564837,0.9679983111407091,0.020000000000000018
6,2025/26,0.0,ALL,0.26,1.0,5379,0.5736519991365848,0.9672382016970347,0.020000000000000018
6,2025/26,0.0,UCL,0.26,1.0,1529,0.5615959357463522,0.9491077830325089,0.020000000000000018
6,2025/26,0.0,UECL,0.26,1.25,1664,0.5758395611302815,0.9708364662565271,0.02500000000000002
6,2025/26,0.0,UEL,0.26,1.0,2186,0.5802345301365511,0.9768094322986522,0.020000000000000018
6,2025/26,0.25,ALL,0.26,1.0,5379,0.5717206083485015,0.9643302333267922,0.020000000000000018
6,2025/26,0.25,UCL,0.26,1.0,1529,0.5589883038869836,0.9451935568276205,0.020000000000000018
6,2025/26,0.25,UECL,0.26,1.25,1664,0.5745228151848848,0.968959664091445,0.02500000000000002
6,2025/26,0.25,UEL,0.26,1.0,2186,0.5782859478901028,0.9737968118314337,0.020000000000000018
6,2025/26,0.5,ALL,0.26,1.0,5379,0.570129871200546,0.9618988784674307,0.020000000000000018
6,2025/26,0.5,UCL,0.26,1.0,1529,0.5571015588912135,0.9422718828070812,0.020000000000000018
6,2025/26,0.5,UECL,0.26,1.25,1664,0.573435948627835,0.9673772269053722,0.02500000000000002
6,2025/26,0.5,UEL,0.26,1.0,2186,0.5765162991160363,0.9710625432927742,0.020000000000000018
6,2025/26,0.75,ALL,0.26,1.0,5379,0.5691352569031156,0.9603320831346062,0.020000000000000018
6,2025/26,0.75,UCL,0.26,1.0,1529,0.5564339350061048,0.9411683832922294,0.020000000000000018
6,2025/26,0.75,UECL,0.26,1.25,1664,0.5728386847664321,0.9664088654405079,0.02500000000000002
6,2025/26,0.75,UEL,0.26,1.0,2186,0.5750248367962999,0.9687575223014668,0.020000000000000018
6,2025/26,0.85,ALL,0.26,1.0,5379,0.5690674202127667,0.9602039427836531,0.020000000000000018
6,2025/26,0.85,UCL,0.26,1.0,1529,0.5567532214250576,0.9416782011585848,0.020000000000000018
6,2025/26,0.85,UECL,0.26,1.25,1664,0.572972045569404,0.9665083519226279,0.02500000000000002
6,2025/26,0.85,UEL,0.26,1.0,2186,0.574566256874389,0.968045861758614,0.020000000000000018
6,2025/26,0.9,ALL,0.26,1.0,5379,0.5691517250510312,0.9603240487168662,0.020000000000000018
6,2025/26,0.9,UCL,0.26,1.0,1529,0.5571005451108162,0.9422570282434543,0.020000000000000018
6,2025/26,0.9,UECL,0.26,1.25,1664,0.5731957424132207,0.966771409394733,0.02500000000000002
6,2025/26,0.9,UEL,0.26,1.0,2186,0.57438363581615,0.9677608526209351,0.020000000000000018
6,2025/26,1.0,ALL,0.26,1.0,5379,0.5696575821187257,0.9611060113060184,0.020000000000000018
6,2025/26,1.0,UCL,0.26,1.0,1529,0.5582920924593154,0.9443154551725036,0.020000000000000018
6,2025/26,1.0,UECL,0.26,1.25,1664,0.5741289209073372,0.9679863688677398,0.02500000000000002
6,2025/26,1.0,UEL,0.26,1.0,2186,0.5741483414739013,0.9673884265551258,0.020000000000000018
